userid,movieId,title,rating,genres
997,527,Schindler's List (1993),4,Drama|War
997,260,Star Wars: Episode IV - A New Hope (1977),4,Action|Adventure|Sci-Fi
997,1,Toy Story (1995),4.5,Adventure|Animation|Children|Comedy|Fantasy
997,1307,When Harry Met Sally... (1989),3.5,Comedy|Romance
1107,110,Braveheart (1995),3,Action|Drama|War
1107,2959,Fight Club (1999),3.5,Action|Crime|Drama|Thriller
1107,356,Forrest Gump (1994),2,Comedy|Drama|Romance|War
1107,527,Schindler's List (1993),4,Drama|War
1107,260,Star Wars: Episode IV - A New Hope (1977),4.5,Action|Adventure|Sci-Fi
1107,1,Toy Story (1995),3.5,Adventure|Animation|Children|Comedy|Fantasy
1107,1307,When Harry Met Sally... (1989),3.5,Comedy|Romance
1163,110,Braveheart (1995),3.5,Action|Drama|War
1163,2959,Fight Club (1999),4,Action|Crime|Drama|Thriller
1163,356,Forrest Gump (1994),4.5,Comedy|Drama|Romance|War
1163,527,Schindler's List (1993),4,Drama|War
1163,260,Star Wars: Episode IV - A New Hope (1977),4.5,Action|Adventure|Sci-Fi
1163,1,Toy Story (1995),4,Adventure|Animation|Children|Comedy|Fantasy
1163,1307,When Harry Met Sally... (1989),4.5,Comedy|Romance
1208,110,Braveheart (1995),3,Action|Drama|War
1208,2959,Fight Club (1999),3.5,Action|Crime|Drama|Thriller
1208,356,Forrest Gump (1994),4,Comedy|Drama|Romance|War
1208,527,Schindler's List (1993),5,Drama|War
1208,260,Star Wars: Episode IV - A New Hope (1977),4,Action|Adventure|Sci-Fi
1208,1,Toy Story (1995),4,Adventure|Animation|Children|Comedy|Fantasy
1208,1307,When Harry Met Sally... (1989),2.5,Comedy|Romance
1305,110,Braveheart (1995),4,Action|Drama|War
1305,2959,Fight Club (1999),4,Action|Crime|Drama|Thriller
1305,356,Forrest Gump (1994),5,Comedy|Drama|Romance|War
1305,527,Schindler's List (1993),5,Drama|War
1305,260,Star Wars: Episode IV - A New Hope (1977),3,Action|Adventure|Sci-Fi
1305,1,Toy Story (1995),5,Adventure|Animation|Children|Comedy|Fantasy
1305,1307,When Harry Met Sally... (1989),3,Comedy|Romance
1329,110,Braveheart (1995),4,Action|Drama|War
1329,2959,Fight Club (1999),3.5,Action|Crime|Drama|Thriller
1329,356,Forrest Gump (1994),3.5,Comedy|Drama|Romance|War
1329,527,Schindler's List (1993),5,Drama|War
1329,260,Star Wars: Episode IV - A New Hope (1977),3.5,Action|Adventure|Sci-Fi
1329,1,Toy Story (1995),4,Adventure|Animation|Children|Comedy|Fantasy
1329,1307,When Harry Met Sally... (1989),4,Comedy|Romance
1463,110,Braveheart (1995),5,Action|Drama|War
1463,2959,Fight Club (1999),4,Action|Crime|Drama|Thriller
1463,356,Forrest Gump (1994),5,Comedy|Drama|Romance|War
1463,527,Schindler's List (1993),4,Drama|War
1463,260,Star Wars: Episode IV - A New Hope (1977),5,Action|Adventure|Sci-Fi
1463,1,Toy Story (1995),4.5,Adventure|Animation|Children|Comedy|Fantasy
1463,1307,When Harry Met Sally... (1989),3.5,Comedy|Romance
1475,110,Braveheart (1995),4,Action|Drama|War
1475,2959,Fight Club (1999),4,Action|Crime|Drama|Thriller
1475,356,Forrest Gump (1994),5,Comedy|Drama|Romance|War
1475,527,Schindler's List (1993),2.5,Drama|War
1475,260,Star Wars: Episode IV - A New Hope (1977),4,Action|Adventure|Sci-Fi
1475,1,Toy Story (1995),4.5,Adventure|Animation|Children|Comedy|Fantasy
1475,1307,When Harry Met Sally... (1989),4,Comedy|Romance
1478,110,Braveheart (1995),4.5,Action|Drama|War
1478,2959,Fight Club (1999),5,Action|Crime|Drama|Thriller
1478,356,Forrest Gump (1994),5,Comedy|Drama|Romance|War
1478,527,Schindler's List (1993),5,Drama|War
1478,260,Star Wars: Episode IV - A New Hope (1977),3,Action|Adventure|Sci-Fi
1478,1,Toy Story (1995),5,Adventure|Animation|Children|Comedy|Fantasy
1478,1307,When Harry Met Sally... (1989),4.5,Comedy|Romance
1481,110,Braveheart (1995),3.5,Action|Drama|War
1481,2959,Fight Club (1999),4.5,Action|Crime|Drama|Thriller
1481,356,Forrest Gump (1994),4.5,Comedy|Drama|Romance|War
1481,527,Schindler's List (1993),5,Drama|War
1481,260,Star Wars: Episode IV - A New Hope (1977),3,Action|Adventure|Sci-Fi
1481,1,Toy Story (1995),2,Adventure|Animation|Children|Comedy|Fantasy
1481,1307,When Harry Met Sally... (1989),1,Comedy|Romance
1482,110,Braveheart (1995),4,Action|Drama|War
1482,2959,Fight Club (1999),5,Action|Crime|Drama|Thriller
1482,356,Forrest Gump (1994),3.5,Comedy|Drama|Romance|War
1482,527,Schindler's List (1993),4,Drama|War
1482,260,Star Wars: Episode IV - A New Hope (1977),4,Action|Adventure|Sci-Fi
1482,1,Toy Story (1995),3.5,Adventure|Animation|Children|Comedy|Fantasy
1482,1307,When Harry Met Sally... (1989),4,Comedy|Romance
1688,110,Braveheart (1995),5,Action|Drama|War
1688,2959,Fight Club (1999),3,Action|Crime|Drama|Thriller
1688,356,Forrest Gump (1994),4,Comedy|Drama|Romance|War
1688,527,Schindler's List (1993),5,Drama|War
1688,260,Star Wars: Episode IV - A New Hope (1977),4,Action|Adventure|Sci-Fi
1688,1,Toy Story (1995),3,Adventure|Animation|Children|Comedy|Fantasy
1688,1307,When Harry Met Sally... (1989),4,Comedy|Romance
1722,110,Braveheart (1995),4,Action|Drama|War
1722,2959,Fight Club (1999),4.5,Action|Crime|Drama|Thriller
1722,356,Forrest Gump (1994),4.5,Comedy|Drama|Romance|War
1722,527,Schindler's List (1993),4,Drama|War
1722,260,Star Wars: Episode IV - A New Hope (1977),4.5,Action|Adventure|Sci-Fi
1722,1,Toy Story (1995),4,Adventure|Animation|Children|Comedy|Fantasy
1722,1307,When Harry Met Sally... (1989),4,Comedy|Romance
1748,110,Braveheart (1995),4,Action|Drama|War
1748,2959,Fight Club (1999),3,Action|Crime|Drama|Thriller
1748,356,Forrest Gump (1994),4.5,Comedy|Drama|Romance|War
1748,527,Schindler's List (1993),4.5,Drama|War
1748,260,Star Wars: Episode IV - A New Hope (1977),3,Action|Adventure|Sci-Fi
1748,1,Toy Story (1995),4.5,Adventure|Animation|Children|Comedy|Fantasy
1748,1307,When Harry Met Sally... (1989),4,Comedy|Romance
1837,110,Braveheart (1995),3.5,Action|Drama|War
1837,2959,Fight Club (1999),5,Action|Crime|Drama|Thriller
1837,356,Forrest Gump (1994),3.5,Comedy|Drama|Romance|War
1837,527,Schindler's List (1993),4.5,Drama|War
1837,260,Star Wars: Episode IV - A New Hope (1977),4,Action|Adventure|Sci-Fi
1837,1,Toy Story (1995),4,Adventure|Animation|Children|Comedy|Fantasy
1837,1307,When Harry Met Sally... (1989),4,Comedy|Romance
1855,110,Braveheart (1995),4.5,Action|Drama|War
1855,2959,Fight Club (1999),4.5,Action|Crime|Drama|Thriller
1855,356,Forrest Gump (1994),3.5,Comedy|Drama|Romance|War
1855,527,Schindler's List (1993),3.5,Drama|War
1855,260,Star Wars: Episode IV - A New Hope (1977),1.5,Action|Adventure|Sci-Fi
1855,1,Toy Story (1995),3,Adventure|Animation|Children|Comedy|Fantasy
1855,1307,When Harry Met Sally... (1989),4,Comedy|Romance
1920,110,Braveheart (1995),3.5,Action|Drama|War
1920,2959,Fight Club (1999),5,Action|Crime|Drama|Thriller
1920,356,Forrest Gump (1994),3.5,Comedy|Drama|Romance|War
1920,527,Schindler's List (1993),5,Drama|War
1920,260,Star Wars: Episode IV - A New Hope (1977),3.5,Action|Adventure|Sci-Fi
1920,1,Toy Story (1995),3.5,Adventure|Animation|Children|Comedy|Fantasy
1920,1307,When Harry Met Sally... (1989),3.5,Comedy|Romance
1977,110,Braveheart (1995),5,Action|Drama|War
1977,2959,Fight Club (1999),3.5,Action|Crime|Drama|Thriller
1977,356,Forrest Gump (1994),5,Comedy|Drama|Romance|War
1977,527,Schindler's List (1993),5,Drama|War
1977,260,Star Wars: Episode IV - A New Hope (1977),5,Action|Adventure|Sci-Fi
1977,1,Toy Story (1995),4.5,Adventure|Animation|Children|Comedy|Fantasy
1977,1307,When Harry Met Sally... (1989),2.5,Comedy|Romance
1989,110,Braveheart (1995),0.5,Action|Drama|War
1989,2959,Fight Club (1999),4.5,Action|Crime|Drama|Thriller
1989,356,Forrest Gump (1994),1,Comedy|Drama|Romance|War
1989,527,Schindler's List (1993),4,Drama|War
1989,260,Star Wars: Episode IV - A New Hope (1977),4,Action|Adventure|Sci-Fi
1989,1,Toy Story (1995),4.5,Adventure|Animation|Children|Comedy|Fantasy
1989,1307,When Harry Met Sally... (1989),3.5,Comedy|Romance
1995,110,Braveheart (1995),3.5,Action|Drama|War
1995,2959,Fight Club (1999),4,Action|Crime|Drama|Thriller
1995,356,Forrest Gump (1994),4,Comedy|Drama|Romance|War
1995,527,Schindler's List (1993),4.5,Drama|War
1995,260,Star Wars: Episode IV - A New Hope (1977),3.5,Action|Adventure|Sci-Fi
1995,1,Toy Story (1995),2.5,Adventure|Animation|Children|Comedy|Fantasy
1995,1307,When Harry Met Sally... (1989),3.5,Comedy|Romance
2032,110,Braveheart (1995),4.5,Action|Drama|War
2032,2959,Fight Club (1999),4,Action|Crime|Drama|Thriller
2032,356,Forrest Gump (1994),4.5,Comedy|Drama|Romance|War
2032,527,Schindler's List (1993),5,Drama|War
2032,260,Star Wars: Episode IV - A New Hope (1977),4.5,Action|Adventure|Sci-Fi
2032,1,Toy Story (1995),4.5,Adventure|Animation|Children|Comedy|Fantasy
2032,1307,When Harry Met Sally... (1989),4,Comedy|Romance
2054,110,Braveheart (1995),3.5,Action|Drama|War
2054,2959,Fight Club (1999),4.5,Action|Crime|Drama|Thriller
2054,356,Forrest Gump (1994),3.5,Comedy|Drama|Romance|War
2054,527,Schindler's List (1993),4,Drama|War
2054,260,Star Wars: Episode IV - A New Hope (1977),3,Action|Adventure|Sci-Fi
2054,1,Toy Story (1995),3.5,Adventure|Animation|Children|Comedy|Fantasy
2054,1307,When Harry Met Sally... (1989),4,Comedy|Romance
2104,110,Braveheart (1995),5,Action|Drama|War
2104,2959,Fight Club (1999),0.5,Action|Crime|Drama|Thriller
2104,356,Forrest Gump (1994),4,Comedy|Drama|Romance|War
2104,527,Schindler's List (1993),2.5,Drama|War
2104,260,Star Wars: Episode IV - A New Hope (1977),1,Action|Adventure|Sci-Fi
2104,1,Toy Story (1995),4,Adventure|Animation|Children|Comedy|Fantasy
2104,1307,When Harry Met Sally... (1989),3,Comedy|Romance
2161,110,Braveheart (1995),3.5,Action|Drama|War
2161,2959,Fight Club (1999),4,Action|Crime|Drama|Thriller
2161,356,Forrest Gump (1994),3.5,Comedy|Drama|Romance|War
2161,527,Schindler's List (1993),4,Drama|War
2161,260,Star Wars: Episode IV - A New Hope (1977),4.5,Action|Adventure|Sci-Fi
2161,1,Toy Story (1995),4.5,Adventure|Animation|Children|Comedy|Fantasy
2161,1307,When Harry Met Sally... (1989),4.5,Comedy|Romance
2177,110,Braveheart (1995),5,Action|Drama|War
2177,2959,Fight Club (1999),4,Action|Crime|Drama|Thriller
2177,356,Forrest Gump (1994),4,Comedy|Drama|Romance|War
2177,527,Schindler's List (1993),5,Drama|War
2177,260,Star Wars: Episode IV - A New Hope (1977),5,Action|Adventure|Sci-Fi
2177,1,Toy Story (1995),4,Adventure|Animation|Children|Comedy|Fantasy
2177,1307,When Harry Met Sally... (1989),5,Comedy|Romance
2218,110,Braveheart (1995),3.5,Action|Drama|War
2218,2959,Fight Club (1999),0.5,Action|Crime|Drama|Thriller
2218,356,Forrest Gump (1994),3.5,Comedy|Drama|Romance|War
2218,527,Schindler's List (1993),4.5,Drama|War
2218,260,Star Wars: Episode IV - A New Hope (1977),1.5,Action|Adventure|Sci-Fi
2218,1,Toy Story (1995),1,Adventure|Animation|Children|Comedy|Fantasy
2218,1307,When Harry Met Sally... (1989),3.5,Comedy|Romance
2287,110,Braveheart (1995),5,Action|Drama|War
2287,2959,Fight Club (1999),1,Action|Crime|Drama|Thriller
2287,356,Forrest Gump (1994),1.5,Comedy|Drama|Romance|War
2287,527,Schindler's List (1993),0.5,Drama|War
2287,260,Star Wars: Episode IV - A New Hope (1977),3,Action|Adventure|Sci-Fi
2287,1,Toy Story (1995),3,Adventure|Animation|Children|Comedy|Fantasy
2287,1307,When Harry Met Sally... (1989),1.5,Comedy|Romance
2342,110,Braveheart (1995),4,Action|Drama|War
2342,2959,Fight Club (1999),5,Action|Crime|Drama|Thriller
2342,356,Forrest Gump (1994),1,Comedy|Drama|Romance|War
2342,527,Schindler's List (1993),4,Drama|War
2342,260,Star Wars: Episode IV - A New Hope (1977),5,Action|Adventure|Sci-Fi
2342,1,Toy Story (1995),4,Adventure|Animation|Children|Comedy|Fantasy
2342,1307,When Harry Met Sally... (1989),5,Comedy|Romance
2345,110,Braveheart (1995),4,Action|Drama|War
2345,2959,Fight Club (1999),5,Action|Crime|Drama|Thriller
2345,356,Forrest Gump (1994),4.5,Comedy|Drama|Romance|War
2345,527,Schindler's List (1993),4,Drama|War
2345,260,Star Wars: Episode IV - A New Hope (1977),5,Action|Adventure|Sci-Fi
2345,1,Toy Story (1995),5,Adventure|Animation|Children|Comedy|Fantasy
2345,1307,When Harry Met Sally... (1989),4,Comedy|Romance
2364,110,Braveheart (1995),4,Action|Drama|War
2364,2959,Fight Club (1999),3.5,Action|Crime|Drama|Thriller
2364,356,Forrest Gump (1994),4.5,Comedy|Drama|Romance|War
2364,527,Schindler's List (1993),4,Drama|War
2364,260,Star Wars: Episode IV - A New Hope (1977),4,Action|Adventure|Sci-Fi
2364,1,Toy Story (1995),3.5,Adventure|Animation|Children|Comedy|Fantasy
2364,1307,When Harry Met Sally... (1989),4,Comedy|Romance
2420,110,Braveheart (1995),5,Action|Drama|War
2420,2959,Fight Club (1999),5,Action|Crime|Drama|Thriller
2420,356,Forrest Gump (1994),4,Comedy|Drama|Romance|War
2420,527,Schindler's List (1993),5,Drama|War
2420,260,Star Wars: Episode IV - A New Hope (1977),5,Action|Adventure|Sci-Fi
2420,1,Toy Story (1995),2.5,Adventure|Animation|Children|Comedy|Fantasy
2420,1307,When Harry Met Sally... (1989),2.5,Comedy|Romance
2469,110,Braveheart (1995),5,Action|Drama|War
2469,2959,Fight Club (1999),5,Action|Crime|Drama|Thriller
2469,356,Forrest Gump (1994),4,Comedy|Drama|Romance|War
2469,527,Schindler's List (1993),5,Drama|War
2469,260,Star Wars: Episode IV - A New Hope (1977),5,Action|Adventure|Sci-Fi
2469,1,Toy Story (1995),5,Adventure|Animation|Children|Comedy|Fantasy
2469,1307,When Harry Met Sally... (1989),4,Comedy|Romance
2473,110,Braveheart (1995),5,Action|Drama|War
2473,2959,Fight Club (1999),5,Action|Crime|Drama|Thriller
2473,356,Forrest Gump (1994),5,Comedy|Drama|Romance|War
2473,527,Schindler's List (1993),5,Drama|War
2473,260,Star Wars: Episode IV - A New Hope (1977),5,Action|Adventure|Sci-Fi
2473,1,Toy Story (1995),5,Adventure|Animation|Children|Comedy|Fantasy
2473,1307,When Harry Met Sally... (1989),5,Comedy|Romance
2483,110,Braveheart (1995),5,Action|Drama|War
2483,2959,Fight Club (1999),5,Action|Crime|Drama|Thriller
2483,356,Forrest Gump (1994),1,Comedy|Drama|Romance|War
2483,527,Schindler's List (1993),5,Drama|War
2483,260,Star Wars: Episode IV - A New Hope (1977),5,Action|Adventure|Sci-Fi
2483,1,Toy Story (1995),4,Adventure|Animation|Children|Comedy|Fantasy
2483,1307,When Harry Met Sally... (1989),5,Comedy|Romance
2492,110,Braveheart (1995),3,Action|Drama|War
2492,2959,Fight Club (1999),4,Action|Crime|Drama|Thriller
2492,356,Forrest Gump (1994),5,Comedy|Drama|Romance|War
2492,527,Schindler's List (1993),5,Drama|War
2492,260,Star Wars: Episode IV - A New Hope (1977),4,Action|Adventure|Sci-Fi
2492,1,Toy Story (1995),4,Adventure|Animation|Children|Comedy|Fantasy
2492,1307,When Harry Met Sally... (1989),4,Comedy|Romance
2496,110,Braveheart (1995),3,Action|Drama|War
2496,2959,Fight Club (1999),5,Action|Crime|Drama|Thriller
2496,356,Forrest Gump (1994),4.5,Comedy|Drama|Romance|War
2496,527,Schindler's List (1993),5,Drama|War
2496,260,Star Wars: Episode IV - A New Hope (1977),3,Action|Adventure|Sci-Fi
2496,1,Toy Story (1995),0.5,Adventure|Animation|Children|Comedy|Fantasy
2496,1307,When Harry Met Sally... (1989),4,Comedy|Romance
2509,110,Braveheart (1995),2.5,Action|Drama|War
2509,2959,Fight Club (1999),4.5,Action|Crime|Drama|Thriller
2509,356,Forrest Gump (1994),4,Comedy|Drama|Romance|War
2509,527,Schindler's List (1993),4.5,Drama|War
2509,260,Star Wars: Episode IV - A New Hope (1977),4,Action|Adventure|Sci-Fi
2509,1,Toy Story (1995),4,Adventure|Animation|Children|Comedy|Fantasy
2509,1307,When Harry Met Sally... (1989),5,Comedy|Romance
2539,110,Braveheart (1995),3.5,Action|Drama|War
2539,2959,Fight Club (1999),4,Action|Crime|Drama|Thriller
2539,356,Forrest Gump (1994),4,Comedy|Drama|Romance|War
2539,527,Schindler's List (1993),3.5,Drama|War
2539,260,Star Wars: Episode IV - A New Hope (1977),5,Action|Adventure|Sci-Fi
2539,1,Toy Story (1995),3,Adventure|Animation|Children|Comedy|Fantasy
2539,1307,When Harry Met Sally... (1989),5,Comedy|Romance
2581,110,Braveheart (1995),5,Action|Drama|War
2581,2959,Fight Club (1999),5,Action|Crime|Drama|Thriller
2581,356,Forrest Gump (1994),5,Comedy|Drama|Romance|War
2581,527,Schindler's List (1993),5,Drama|War
2581,260,Star Wars: Episode IV - A New Hope (1977),4.5,Action|Adventure|Sci-Fi
2581,1,Toy Story (1995),3.5,Adventure|Animation|Children|Comedy|Fantasy
2581,1307,When Harry Met Sally... (1989),4.5,Comedy|Romance
2752,110,Braveheart (1995),4,Action|Drama|War
2752,2959,Fight Club (1999),4,Action|Crime|Drama|Thriller
2752,356,Forrest Gump (1994),4,Comedy|Drama|Romance|War
2752,527,Schindler's List (1993),4.5,Drama|War
2752,260,Star Wars: Episode IV - A New Hope (1977),4,Action|Adventure|Sci-Fi
2752,1,Toy Story (1995),3,Adventure|Animation|Children|Comedy|Fantasy
2752,1307,When Harry Met Sally... (1989),3,Comedy|Romance
2766,110,Braveheart (1995),2.5,Action|Drama|War
2766,2959,Fight Club (1999),5,Action|Crime|Drama|Thriller
2766,356,Forrest Gump (1994),3.5,Comedy|Drama|Romance|War
2766,527,Schindler's List (1993),4.5,Drama|War
2766,260,Star Wars: Episode IV - A New Hope (1977),4.5,Action|Adventure|Sci-Fi
2766,1,Toy Story (1995),5,Adventure|Animation|Children|Comedy|Fantasy
2766,1307,When Harry Met Sally... (1989),4.5,Comedy|Romance
2775,110,Braveheart (1995),4,Action|Drama|War
2775,2959,Fight Club (1999),4.5,Action|Crime|Drama|Thriller
2775,356,Forrest Gump (1994),4,Comedy|Drama|Romance|War
2775,527,Schindler's List (1993),4,Drama|War
2775,260,Star Wars: Episode IV - A New Hope (1977),3,Action|Adventure|Sci-Fi
2775,1,Toy Story (1995),3,Adventure|Animation|Children|Comedy|Fantasy
2775,1307,When Harry Met Sally... (1989),3,Comedy|Romance
2838,110,Braveheart (1995),4,Action|Drama|War
2838,2959,Fight Club (1999),4,Action|Crime|Drama|Thriller
2838,356,Forrest Gump (1994),5,Comedy|Drama|Romance|War
